County,Pop_2016,Pop_2017,Pop_2018,Pop_change_2016,Pop_change_2017,Pop_change_2018
Alameda,1650306,1658131,1666753,15672,7825,8622
Alpine,1057,1121,1101,-30,64,-20
Amador,37438,38551,39383,401,1113,832
Butte,226529,229207,231256,1717,2678,2049
Calaveras,45303,45642,45602,346,339,-40
Colusa,21553,21675,21627,284,122,-48
Contra Costa,1137194,1144863,1150215,12588,7669,5352
Del Norte,27422,27428,27828,176,6,400
El Dorado,186082,188722,190678,1422,2640,1956
Fresno,977956,986542,994400,7514,8586,7858
Glenn,27851,27956,28047,75,105,91
Humboldt,136314,136527,136373,1200,213,-154
Imperial,180268,181574,181827,1089,1306,253
Inyo,17996,17948,17987,-178,-48,39
Kern,882361,888988,896764,5164,6627,7776
Kings,149509,149696,151366,-690,187,1670
Lake,63884,64162,64382,-370,278,220
Lassen,30906,31123,30802,-477,217,-321
Los Angeles,10120540,10118759,10105518,23503,-1781,-13241
Madera,154160,155904,157672,421,1744,1768
Marin,260633,259725,259666,-383,-908,-59
Mariposa,17455,17437,17471,-167,-18,34
Mendocino,87382,87697,87606,214,315,-91
Merced,267971,271340,274765,1320,3369,3425
Modoc,8935,8848,8777,-113,-87,-71
Mono,14202,14235,14250,159,33,15
Monterey,434767,435477,435594,3526,710,117
Napa,141185,140386,139417,89,-799,-969
Nevada,98964,99503,99696,255,539,193
Orange,3170707,3179950,3185968,16745,9243,6018
Placer,379288,385565,393149,6230,6277,7584
Plumas,18772,18740,18804,256,-32,64
Riverside,2382570,2417224,2450758,34649,34654,33534
Sacramento,1511510,1527718,1540975,17216,16208,13257
San Benito,59235,60199,61537,992,964,1338
San Bernardino,2134174,2153203,2171603,16863,19029,18400
San Diego,3310280,3325468,3343364,26219,15188,17896
San Francisco,872795,879166,883305,8959,6371,4139
San Joaquin,732185,742516,752660,10256,10331,10144
San Luis Obispo,281958,282838,284010,1787,880,1172
San Mateo,768204,768808,769545,2757,604,737
Santa Barbara,444675,445606,446527,2153,931,921
Santa Clara,1929581,1933383,1937570,12100,3802,4187
Santa Cruz,274702,275105,274255,972,403,-850
Shasta,178581,179539,180040,220,958,501
Sierra,2957,3009,2987,-39,52,-22
Siskiyou,43479,43784,43724,143,305,-60
Solano,439300,443877,446610,5592,4577,2733
Sonoma,503249,503246,499942,1903,-3,-3304
Stanislaus,539542,545267,549815,6008,5725,4548
Sutter,95898,96438,96807,510,540,369
Tehama,63352,63718,63916,262,366,198
Trinity,12830,12726,12535,-264,-104,-191
Tulare,460023,463097,465861,2220,3074,2764
Tuolumne,53704,54039,54539,154,335,500
Ventura,848921,850802,850967,1999,1881,165
Yolo,215530,218376,220408,3477,2846,2032
Yuba,75002,76775,78041,919,1773,1266